REF;I
IPM;101879
4589;101880
9964;101881
J4;101882
999;101883
JA;101884
JB1;101885
JC24;101886
JDX5;101887
JV1;101888
12856;101889
J29054;101890
790300;101891
17002;101892
BLY 13;101893
JLM 6/24;101894
456321;101895
48566;101896
46232;101897
TC1252;101898
9676;101899
10598;101900
9965;101901
16053;101902
32327;101903
32228;101904
8274;101905
7914;101906
K01;101907
8273;101908
32468;101909
946;101910
32372;101911
KPA;101912
KPAZ;101913
32507;101914
32384;101915
32366;101916
32504;101917
KGB;101918
32369;101919
KPR;101920
KPV;101921
32381;101922
1627;101923
1007;101924
0360;101925
4168;101926
1681;101927
5259;101928
5260;101929
L53;101930
10448;101931
9968;101932
10447;101933
9969;101934
9966;101935
3901;101936
3901B;101937
L89563;101938
16015;101939
6035;101940
3159;101941
1019;101942
1020;101943
1021;101944
1022;101945
6038;101946
1023;101947
1024;101948
1954;101949
1025;101950
1026;101951
1027;101952
1028;101953
1029;101954
1030;101955
6200;101956
6201;101957
6202;101958
6203;101959
6204;101960
6205;101961
6206;101962
6207;101963
6209;101964
6198;101965
6210;101966
6199;101967
9258;101968
8064;101969
8077;101970
8066;101971
8067;101972
8068;101973
8069;101974
8070;101975
8071;101976
8072;101977
8073;101978
8074;101979
8075;101980
8076;101981
8065;101982
10253;101983
10255;101984
10257;101985
10250;101986
10256;101987
10258;101988
10260_;101989
848;101990
10376;101991
10379;101992
10380;101993
10372;101994
10374;101995
9970;101996
60022;101997
1034;101998
7624;101999
32255;102000
2006;102001
2004;102002
32882;102003
16090;102004
21159;102005
4078;102006
4124;102007
11893;102008
21546;102009
10850;102010
1036;102011
1037;102012
1038;102013
1039;102014
1040;102015
L0966;102016
10853;102017
1640;102018
1644;102019
5843;102020
1793;102021
01254;102022
1849;102023
1850;102024
80544;102025
80546;102026
80545;102027
80548;102028
80547;102029
9971;102030
9973;102031
9972;102032
9974;102033
9975;102034
5650;102035
5649;102036
5645;102037
L5646;102038
5647;102039
5648;102040
2672;102041
9899L;102042
6916;102043
4331;102044
10161;102045
7847;102046
8242;102047
8941;102048
4441;102049
8241;102050
L8239;102051
8238;102052
8246;102053
7846;102054
7844;102055
7858;102056
